2024-01-01 00:00 → 2026-09-15 23:59 UTC: 78131 scans to process (32 workers)
  [26200/78131] ok=25771 missing=429 error=0 (15857 scans/h, ETA 3.3 h)
  [26400/78131] ok=25968 missing=432 error=0 (15867 scans/h, ETA 3.3 h)
  [26600/78131] ok=26166 missing=434 error=0 (15865 scans/h, ETA 3.2 h)
  [26800/78131] ok=26363 missing=437 error=0 (15870 scans/h, ETA 3.2 h)
  [27000/78131] ok=26560 missing=440 error=0 (15878 scans/h, ETA 3.2 h)
  [27200/78131] ok=26757 missing=443 error=0 (15882 scans/h, ETA 3.2 h)
  [27400/78131] ok=26955 missing=445 error=0 (15889 scans/h, ETA 3.2 h)
  [27600/78131] ok=27152 missing=448 error=0 (15901 scans/h, ETA 3.2 h)
  [27800/78131] ok=27350 missing=450 error=0 (15926 scans/h, ETA 3.2 h)
  [28000/78131] ok=27546 missing=454 error=0 (15946 scans/h, ETA 3.1 h)
  [28200/78131] ok=27742 missing=458 error=0 (15966 scans/h, ETA 3.1 h)
  [28400/78131] ok=27940 missing=460 error=0 (15991 scans/h, ETA 3.1 h)
  [28600/78131] ok=28137 missing=463 error=0 (16018 scans/h, ETA 3.1 h)
  [28800/78131] ok=28335 missing=465 error=0 (16035 scans/h, ETA 3.1 h)
  [29000/78131] ok=28532 missing=468 error=0 (16042 scans/h, ETA 3.1 h)
  [29200/78131] ok=28729 missing=471 error=0 (16048 scans/h, ETA 3.0 h)
  [29400/78131] ok=28926 missing=474 error=0 (16033 scans/h, ETA 3.0 h)
  [29600/78131] ok=29124 missing=476 error=0 (15913 scans/h, ETA 3.0 h)
  [29800/78131] ok=29321 missing=479 error=0 (15886 scans/h, ETA 3.0 h)
  [30000/78131] ok=29518 missing=482 error=0 (15874 scans/h, ETA 3.0 h)
  [30200/78131] ok=29714 missing=486 error=0 (15871 scans/h, ETA 3.0 h)
  [30400/78131] ok=29912 missing=488 error=0 (15873 scans/h, ETA 3.0 h)
  [30600/78131] ok=30109 missing=491 error=0 (15891 scans/h, ETA 3.0 h)
  [30800/78131] ok=30307 missing=493 error=0 (15909 scans/h, ETA 3.0 h)
  [31000/78131] ok=30502 missing=498 error=0 (15910 scans/h, ETA 3.0 h)
  [31200/78131] ok=30700 missing=500 error=0 (15930 scans/h, ETA 2.9 h)
  [31400/78131] ok=30896 missing=504 error=0 (15950 scans/h, ETA 2.9 h)
  [31600/78131] ok=31093 missing=507 error=0 (15970 scans/h, ETA 2.9 h)
  [31800/78131] ok=31291 missing=509 error=0 (15986 scans/h, ETA 2.9 h)
  [32000/78131] ok=31488 missing=512 error=0 (15991 scans/h, ETA 2.9 h)
  [32200/78131] ok=31685 missing=515 error=0 (16006 scans/h, ETA 2.9 h)
  [32400/78131] ok=31882 missing=518 error=0 (15985 scans/h, ETA 2.9 h)
  [32600/78131] ok=32079 missing=521 error=0 (15979 scans/h, ETA 2.8 h)
  [32800/78131] ok=32276 missing=524 error=0 (15979 scans/h, ETA 2.8 h)
  [33000/78131] ok=32474 missing=526 error=0 (15974 scans/h, ETA 2.8 h)
  [33200/78131] ok=32671 missing=529 error=0 (15990 scans/h, ETA 2.8 h)
  [33400/78131] ok=32868 missing=532 error=0 (15998 scans/h, ETA 2.8 h)
  [33600/78131] ok=33064 missing=536 error=0 (16008 scans/h, ETA 2.8 h)
  [33800/78131] ok=33262 missing=538 error=0 (15993 scans/h, ETA 2.8 h)
  [34000/78131] ok=33459 missing=541 error=0 (16011 scans/h, ETA 2.8 h)
  [34200/78131] ok=33656 missing=544 error=0 (16023 scans/h, ETA 2.7 h)
  [34400/78131] ok=33854 missing=546 error=0 (16033 scans/h, ETA 2.7 h)
  [34600/78131] ok=34051 missing=549 error=0 (16050 scans/h, ETA 2.7 h)
  [34800/78131] ok=34248 missing=552 error=0 (16063 scans/h, ETA 2.7 h)
  [35000/78131] ok=34445 missing=555 error=0 (16062 scans/h, ETA 2.7 h)
  [35200/78131] ok=34643 missing=557 error=0 (16073 scans/h, ETA 2.7 h)
  [35400/78131] ok=34840 missing=560 error=0 (16089 scans/h, ETA 2.7 h)
  [35600/78131] ok=35038 missing=562 error=0 (16116 scans/h, ETA 2.6 h)
  [35800/78131] ok=35233 missing=567 error=0 (16148 scans/h, ETA 2.6 h)
  [36000/78131] ok=35431 missing=569 error=0 (16169 scans/h, ETA 2.6 h)
  [36200/78131] ok=35628 missing=572 error=0 (16191 scans/h, ETA 2.6 h)
  [36400/78131] ok=35826 missing=574 error=0 (16209 scans/h, ETA 2.6 h)
  [36600/78131] ok=36023 missing=577 error=0 (16230 scans/h, ETA 2.6 h)
  [36800/78131] ok=36221 missing=579 error=0 (16257 scans/h, ETA 2.5 h)
  [37000/78131] ok=36417 missing=583 error=0 (16281 scans/h, ETA 2.5 h)
  [37200/78131] ok=36615 missing=585 error=0 (16306 scans/h, ETA 2.5 h)
  [37400/78131] ok=36812 missing=588 error=0 (16332 scans/h, ETA 2.5 h)
  [37600/78131] ok=37009 missing=591 error=0 (16353 scans/h, ETA 2.5 h)
  [37800/78131] ok=37203 missing=597 error=0 (16380 scans/h, ETA 2.5 h)
  [38000/78131] ok=37399 missing=601 error=0 (16413 scans/h, ETA 2.4 h)
  [38200/78131] ok=37597 missing=603 error=0 (16443 scans/h, ETA 2.4 h)
  [38400/78131] ok=37794 missing=606 error=0 (16471 scans/h, ETA 2.4 h)
  [38600/78131] ok=37992 missing=608 error=0 (16499 scans/h, ETA 2.4 h)
  [38800/78131] ok=38189 missing=611 error=0 (16527 scans/h, ETA 2.4 h)
  [39000/78131] ok=38387 missing=613 error=0 (16559 scans/h, ETA 2.4 h)
  [39200/78131] ok=38583 missing=617 error=0 (16587 scans/h, ETA 2.3 h)
  [39400/78131] ok=38781 missing=619 error=0 (16547 scans/h, ETA 2.3 h)
  [39600/78131] ok=38978 missing=622 error=0 (16577 scans/h, ETA 2.3 h)
  [39800/78131] ok=39176 missing=624 error=0 (16607 scans/h, ETA 2.3 h)
  [40000/78131] ok=39373 missing=627 error=0 (16636 scans/h, ETA 2.3 h)
  [40200/78131] ok=39570 missing=630 error=0 (16663 scans/h, ETA 2.3 h)
  [40400/78131] ok=39767 missing=633 error=0 (16693 scans/h, ETA 2.3 h)
  [40600/78131] ok=39964 missing=636 error=0 (16689 scans/h, ETA 2.2 h)
  [40800/78131] ok=40162 missing=638 error=0 (16702 scans/h, ETA 2.2 h)
  [41000/78131] ok=40359 missing=641 error=0 (16722 scans/h, ETA 2.2 h)
  [41200/78131] ok=40557 missing=643 error=0 (16721 scans/h, ETA 2.2 h)
  [41400/78131] ok=40753 missing=647 error=0 (16732 scans/h, ETA 2.2 h)
  [41600/78131] ok=40951 missing=649 error=0 (16737 scans/h, ETA 2.2 h)
  [41800/78131] ok=41148 missing=652 error=0 (16759 scans/h, ETA 2.2 h)
  [42000/78131] ok=41346 missing=654 error=0 (16781 scans/h, ETA 2.2 h)
  [42200/78131] ok=41543 missing=657 error=0 (16807 scans/h, ETA 2.1 h)
  [42400/78131] ok=41740 missing=660 error=0 (16830 scans/h, ETA 2.1 h)
  [42600/78131] ok=41937 missing=663 error=0 (16853 scans/h, ETA 2.1 h)
  [42800/78131] ok=42135 missing=665 error=0 (16860 scans/h, ETA 2.1 h)
  [43000/78131] ok=42332 missing=668 error=0 (16870 scans/h, ETA 2.1 h)
